Codice A Barre;Codice Articolo;Descrizione;Descrizione;Classe Logistica;Descrizione Articolo;Codice Marca;Codice Listino;Prezzo;colore;taglia;Quantita' Giacenza (um Magazzino);Tipo;MARCHIO
8056309754122;EFRM1441AC380;FOSTER;;;BUSTA UOMO FREEDOMDAY FOSTER;S22;ITA;7,500000;000;TU;371,0000;3;
8056309755402;EOTM170AC92;;;;CAMICIA UOMO OUTHERE EOTM170AC92 Mini Check;S22;ITA;60,000000;010;L;0,0000;3;
8056309756799;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80,000000;000;4;0,0000;2;
8056309756829;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;000;10;0,0000;2;
8056309756928;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;013;14;0,0000;2;
8056309756935;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80,000000;013;16;0,0000;2;
8056309756959;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80,000000;041;4;0,0000;2;
8056309756973;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;041;8;0,0000;2;
8056309756980;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;041;10;0,0000;2;
8056309756997;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU2;88,000000;041;12;0,0000;2;
8056309757017;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80,000000;041;16;0,0000;2;
8056309757048;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;ITA;83,000000;013;6;0,0000;2;
8056309757055;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;013;8;0,0000;2;
8056309757055;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;ITA;83,000000;013;8;0,0000;2;
8056309757079;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;ITA;83,000000;013;12;0,0000;2;
8056309757093;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;013;16;0,0000;2;
8056309757093;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU2;91,500000;013;16;0,0000;2;
8056309757130;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;ITA;83,000000;041;8;0,0000;2;
8056309757208;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;044;6;0,0000;2;
8056309757208;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU2;91,500000;044;6;0,0000;2;
8056309757239;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;044;12;0,0000;2;
8056309757246;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;044;14;0,0000;2;
8056309757314;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU2;60,500000;000;12;0,0000;2;
8056309757321;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;ITA;55,000000;000;14;0,0000;2;
8056309757383;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;013;10;2,0000;2;
8056309757390;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;013;12;1,0000;2;
8056309757390;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;ITA;55,000000;013;12;1,0000;2;
8056309757406;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;013;14;1,0000;2;
8056309754115;EFRM1440AC380;AVERY;;;ZAINO UOMO FREEDOMDAY AVERY;S22;EU2;21,500000;000;TU;474,0000;3;
8056309757437;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;041;4;0,0000;2;
8056309757444;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;041;6;1,0000;2;
