Codice Articolo	Codice Variante	Descrizione Articolo	Variante Articolo	Descrizione Variante Articolo	Articolo/Variante	Codice A Barre	UdM	Giacenza	Impegnato
EFRJB1907AC180	"013; 8"	GIUBBINO JUNIOR BOY FREEDOMDAY AVIER	"013; 8"	BLUE NAVY 8	"EFRJB1907AC180  013; 8  GIUBBINO JUNIOR BOY FREEDOMDAY AVIER / BLUE NAVY 8"	8056309757376	PZ	0	0
EFRJB1907AC180	"013;12"	GIUBBINO JUNIOR BOY FREEDOMDAY AVIER	"013;12"	BLUE NAVY 12	"EFRJB1907AC180  013;12  GIUBBINO JUNIOR BOY FREEDOMDAY AVIER / BLUE NAVY 12"	8056309757390	PZ	0	0
EFRJB1907AC180	"044; 4"	GIUBBINO JUNIOR BOY FREEDOMDAY AVIER	"044; 4"	LIME 4	"EFRJB1907AC180  044; 4  GIUBBINO JUNIOR BOY FREEDOMDAY AVIER / LIME 4"	8056309757512	PZ	0	0
EFRJB1907AC180	"044;10"	GIUBBINO JUNIOR BOY FREEDOMDAY AVIER	"044;10"	LIME 10	"EFRJB1907AC180  044;10  GIUBBINO JUNIOR BOY FREEDOMDAY AVIER / LIME 10"	8056309757543	PZ	4	0
EFRJB1911AC250	"013;10"	GIUBBINO JUNIOR BOY FREEDOMDAY BENSON	"013;10"	BLUE NAVY 10	"EFRJB1911AC250  013;10  GIUBBINO JUNIOR BOY FREEDOMDAY BENSON / BLUE NAVY 10"	8056309758106	PZ	1	0
EFRJB1911AC250	"013;14"	GIUBBINO JUNIOR BOY FREEDOMDAY BENSON	"013;14"	BLUE NAVY 14	"EFRJB1911AC250  013;14  GIUBBINO JUNIOR BOY FREEDOMDAY BENSON / BLUE NAVY 14"	8056309758120	PZ	0	0
EFRJB1911AC250	"114; 6"	GIUBBINO JUNIOR BOY FREEDOMDAY BENSON	"114; 6"	MARINE 6	"EFRJB1911AC250  114; 6  GIUBBINO JUNIOR BOY FREEDOMDAY BENSON / MARINE 6"	8056309758243	PZ	0	0
EFRJB1911AC250	"114;16"	GIUBBINO JUNIOR BOY FREEDOMDAY BENSON	"114;16"	MARINE 16	"EFRJB1911AC250  114;16  GIUBBINO JUNIOR BOY FREEDOMDAY BENSON / MARINE 16"	8056309758298	PZ	2	0
EFRJB1912AC521	"013;14"	GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible	"013;14"	BLUE NAVY 14	"EFRJB1912AC521  013;14  GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible / BLUE NAVY 14"	8056309758366	PZ	2	0
EFRJB1912AC521	"031; 8"	GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible	"031; 8"	ORANGE 8	"EFRJB1912AC521  031; 8  GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible / ORANGE 8"	8056309758410	PZ	0	0
