Codice A Barre;Codice Articolo;Descrizione;Descrizione;Classe Logistica;Descrizione Articolo;Codice Marca;Codice Listino;prezzo ita;Prezzo ue;colore;taglia;Quantita' Giacenza (um Magazzino);Tipo;MARCHIO;categoria;short_description;long_description;details;immagini
8056309756799;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80;80;;4;0;2;;Kids > giubbini medi;breve descrizione;descrizione aggiuntiva;descrizione dettagli;url immagini
8056309756829;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92;92;;10;0;2;;;;;;
8056309756928;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92;92;13;14;0;2;;;;;;
8056309756935;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80;80;13;16;0;2;;;;;;
8056309756959;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80;80;41;4;0;2;;;;;;
8056309756973;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92;92;41;8;0;2;;;;;;
8056309756980;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92;92;41;10;0;2;;;;;;
8056309756997;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU2;88;88;41;12;0;2;;;;;;
8056309757017;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80;80;0;16;0;2;;;;;;
8056309757048;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;ITA;83;83;0;6;0;2;;Kids > giubbini medi;breve descrizione;descrizione aggiuntiva;descrizione dettagli;url immagini
8056309757055;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,5;95,5;13;8;0;2;;;;;;
8056309757055;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;ITA;83;83;13;8;0;2;;;;;;
8056309757079;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;ITA;83;83;13;12;0;2;;;;;;
8056309757093;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,5;95,5;13;16;0;2;;;;;;
8056309757093;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU2;91,5;91,5;13;16;0;2;;;;;;
8056309757130;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;ITA;83;83;41;8;0;2;;;;;;
8056309757208;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,5;95,5;44;6;0;2;;;;;;
8056309757208;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU2;91,5;91,5;44;6;0;2;;;;;;
8056309757239;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,5;95,5;44;12;0;2;;;;;;
8056309757246;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,5;95,5;44;14;0;2;;;;;;
